storeId,storeName,postalCode,latitude,longitude
14705,Apple Lumber,76051,40.55217715,-75.49072187
14708,Arc'teryx La Madeleine,75043,32.86605538,-96.53771582
14710,Ariat Brand Shop,78552,26.19201429,-97.7219416
14713,Ariat Outlet,77494,29.77583488,-95.80933157
14739,Ascuba Venture,77047,29.59514849,-95.38991563
14776,ascubadiving,79109,35.18284628,-101.8823916
14798,Atascocita Ace Hardware,78704,30.259626,-97.75817
14995,Atwoods,77566,29.05270795,-95.45936217
14998,Atwoods,79007,35.65981584,-101.4081117
15000,Atwoods,77840,30.62540422,-96.30495604
15001,Austin Tri-Cyclist,79029,35.84846587,-101.9744817
15002,B & B Bicycles,78256,29.5913307,-98.61729855
15003,B & S True Value Hardware & Lumber,79065,35.55381583,-100.9719617
15004,B & S True Value Hardware- Gilmer,77479,29.59138072,-95.62252222
15005,Baby's & Kid's 1st,76033,32.3405153,-97.4094416
15007,Bailey's Ace Hardware,75110,32.08159526,-96.48169158
15010,Bailey's Hardware,75119,32.33215297,-96.61653158
15011,Bass Pro Shops,77338,30.00860463,-95.26992152
15013,Bass Pro Shops,75801,31.7390052,-95.60785157
15014,Bass Pro Shops,78501,26.18514408,-98.23804132
15015,Bass Pro Shops,76205,33.19045544,-97.10801159
15016,Bass Pro Shops,78840,29.39067482,-100.9029917
15017,Bass Pro Shops,76205,33.19183853,-97.10800813
15018,Bass Pro Shops,77075,29.62653485,-95.24643156
15021,Bass Pro Shops,75455,33.13499543,-94.96943156
15022,Bass Pro Shops,78526,25.95579789,-97.5043218
15024,Bass Pro Shops,75503,33.45578548,-94.08057154
15025,Bass Pro Shops,75503,33.45651779,-94.08054231
15026,Bass Pro Shops,75093,33.032391,-96.83110402
15027,Bass Pro Shops,76067,32.81125538,-98.08372161
15028,Bass Pro Shops,78746,30.25696537,-97.8051928
15167,Bass Pro Shops (Formerly Cabela's),78801,29.22567479,-99.76014163
15190,Bay Area Bicycles,79072,34.1894056,-101.7839217
15191,BBQ Outfitters,79045,34.83964571,-102.4061017
15192,BBQ Outfitters,78582,26.36986432,-98.80070162
15194,Bear Creek Running Co,78363,27.4957845,-97.8578316
15195,Bella's House,78155,29.57238485,-97.9412516
15196,Benbrook Ace Hardware,78102,28.42598466,-97.74801602
15197,Bering's Hardware,76904,31.42535149,-100.4961917
15198,Bering's Hardware,76801,31.71891891,-98.98438004
15200,Bertram Hardware & Supply,75670,32.53010533,-94.35099155
15201,Best Buy,75605,32.53933533,-94.75141155
15202,Best Buy Abilene,75460,33.6583577,-95.51134455
15203,Best Buy Alamo Ranch,75482,33.11425425,-95.59095157
15204,Best Buy Allen,75165,32.41224531,-96.84324159
15256,Best Buy Amarillo,77056,29.7392555,-95.46512907
15284,Best Buy Arlington,78746,30.25769496,-97.8069016
15421,Best Buy Atascocita,77565,29.54037484,-95.03772156
15478,Best Buy Bastrop,78256,29.59438485,-98.61511162
15501,Best Buy Baybrook,75225,32.8686505,-96.7737069
15645,Best Buy Baytown,76667,31.68496519,-96.45903158
15713,Best Buy Beaumont,75402,33.10011542,-96.11095157
